SKU,Product Name,Brand,Category,Unit,Cost (AED),Price (mixed incl./excl. VAT),Opening Qty,Tax Group,Shelf Life Note
MM-00093,Vantage Fitness Band,Vantage,Wearable,Each,339.30,572.34,14,Standard 5%,
MM-00094,Orbit Smart Watch,Orbit,Wearables,Each,740.10,1360.84,25,Standard 5%,
MM-00095,Nova Screen Protector,Nova,Accessories,Each,320.59,439.06,42,Standard 5%,
MM-00096,Orbit Replacement Battery,Orbit,Repair Parts,Each,381.14,670.32,7,Standard 5%,
MM-00097,Orbit Fitness Band,Orbit,Wearables,Each,545.61,998.53,7,Standard 5%,
MM-00098,Orbit Car Mount,Orbit,Accessories,Each,673.92,1058.55,27,Standard 5%,
MM-00099,Orbit Wireless Charger Pad,Orbit,Charging,Each,641.19,879.63,30,Standard 5%,
MM-00100,Falconx Smartphone 256GB,Falconx,phones,Each,654.34,849.61,14,Standard 5%,
MM-00101,Falconx Smart Watch,Falconx,Wearable,Each,678.47,1000.03,31,Standard 5%,
MM-00102,Zenlink Smartphone 256GB,Zenlink,phones,Each,312.76,409.15,8,Standard 5%,
MM-00103,Zenlink Fitness Band,Zenlink,Wearable,Each,416.14,671.13,16,Standard 5%,
MM-00104,Zenlink Fast Charger 65W,Zenlink,Charging,Each,340.21,632.68,31,Standard 5%,
MM-00105,PureSound Cable Type-C,PureSound,Acc.,Each,566.09,743.65,25,Standard 5%,
MM-00106,PureSound Cable Type-C,PureSound,Acc.,Each,139.75,200.54,35,Standard 5%,
MM-00107,Zenlink Fitness Band,Zenlink,Wearable,Each,730.06,1167.59,24,Standard 5%,
MM-00108,Orbit Wireless Charger Pad,Orbit,Chargers,Each,656.96,1133.09,25,Standard 5%,
MM-00109,PureSound Smartphone 128GB,PureSound,phones,Each,275.13,487.64,29,Standard 5%,
MM-00110,Zenlink Replacement Screen,Zenlink,Parts,Each,663.85,1229.01,22,Standard 5%,
MM-00111,Falconx Over-Ear Headphones,Falconx,Audio,Each,335.10,426.01,36,Standard 5%,
MM-00112,PureSound Fitness Band,PureSound,Wearable,Each,127.17,194.82,28,Standard 5%,
MM-00113,Vantage Fast Charger 65W,Vantage,Chargers,Each,105.91,153.76,49,Standard 5%,
MM-00114,PureSound Cable Type-C,PureSound,Accessories,Each,847.03,1147.05,3,Standard 5%,
MM-00115,Vantage Fast Charger 20W,Vantage,Chargers,Each,851.36,1554.98,37,Standard 5%,
MM-00116,PureSound Smartphone 256GB,PureSound,Mobiles,Each,702.61,1011.34,27,Standard 5%,
MM-00117,Falconx Smartphone 256GB,Falconx,Mobiles,Each,387.68,726.64,30,Standard 5%,
MM-00118,Zenlink Wireless Earbuds,Zenlink,audio,Each,418.57,762.24,4,Standard 5%,
MM-00119,PureSound Replacement Battery,PureSound,Repair Parts,Each,514.17,743.99,46,Standard 5%,
MM-00120,Zenlink Wireless Earbuds,Zenlink,audio,Each,375.11,704.49,9,Standard 5%,
MM-00121,PureSound Replacement Screen,PureSound,Repair Parts,Each,833.75,1457.11,36,Standard 5%,
MM-00122,Falconx Smartphone 128GB,Falconx,Phones,Each,642.24,809.94,37,Standard 5%,
MM-00123,Nova Bluetooth Speaker,Nova,audio,Each,820.93,1187.84,23,Standard 5%,
MM-00124,PureSound Bluetooth Speaker,PureSound,audio,Each,715.73,1312.22,41,Standard 5%,
MM-00125,Nova Replacement Battery,Nova,Parts,Each,839.61,1159.73,25,Standard 5%,
MM-00126,Falconx Wireless Charger Pad,Falconx,Charging,Each,553.08,962.18,26,Standard 5%,
MM-00127,PureSound Smart Watch,PureSound,Wearable,Each,451.16,656.42,30,Standard 5%,
MM-00128,Falconx Fast Charger 20W,Falconx,Charging,Each,870.67,1607.38,23,Standard 5%,
MM-00129,Vantage Wireless Earbuds,Vantage,audio,Each,27.61,51.98,28,Standard 5%,
MM-00130,Falconx Fast Charger 20W,Falconx,Chargers,Each,248.12,347.96,5,Standard 5%,
MM-00131,Nova Cable Type-C,Nova,Accessories,Each,857.08,1332.44,22,Standard 5%,
MM-00132,Falconx Phone Case,Falconx,Accessories,Each,68.59,88.75,41,Standard 5%,
MM-00133,PureSound Replacement Battery,PureSound,Parts,Each,577.62,994.79,9,Standard 5%,
MM-00134,Zenlink Smart Watch,Zenlink,Wearables,Each,86.31,144.91,12,Standard 5%,
MM-00135,Falconx Wireless Charger Pad,Falconx,Charging,Each,165.16,269.01,5,Standard 5%,
MM-00136,PureSound Replacement Screen,PureSound,Parts,Each,250.37,381.12,5,Standard 5%,
MM-00137,Nova Smartphone 256GB,Nova,Mobiles,Each,786.16,1276.22,26,Standard 5%,
MM-00138,Zenlink Wireless Earbuds,Zenlink,audio,Each,811.90,1223.66,33,Standard 5%,
MM-00139,Orbit Wireless Earbuds,Orbit,Audio,Each,251.03,381.91,1,Standard 5%,
MM-00140,Nova Smartphone 256GB,Nova,Phones,Each,346.36,489.72,31,Standard 5%,
MM-00141,Zenlink Fitness Band,Zenlink,Wearables,Each,668.35,1170.25,34,Standard 5%,
MM-00142,PureSound Smart Watch,PureSound,Wearables,Each,252.70,403.33,0,Standard 5%,
MM-00143,Nova Fitness Band,Nova,Wearables,Each,533.39,779.71,49,Standard 5%,
MM-00144,Orbit Replacement Screen,Orbit,Repair Parts,Each,620.37,891.21,37,Standard 5%,
MM-00145,Orbit Smartphone Lite,Orbit,Phones,Each,329.85,438.25,16,Standard 5%,
MM-00146,Zenlink Replacement Screen,Zenlink,Parts,Each,433.88,705.37,5,Standard 5%,
MM-00147,Falconx Bluetooth Speaker,Falconx,audio,Each,112.10,155.97,9,Standard 5%,
MM-00148,Zenlink Wireless Charger Pad,Zenlink,Charging,Each,763.46,1386.83,5,Standard 5%,
MM-00149,Vantage Smartphone 256GB,Vantage,Phones,Each,823.87,1241.72,9,Standard 5%,
MM-00150,Orbit Screen Protector,Orbit,Accessories,Each,510.62,712.52,4,Standard 5%,
MM-00151,Nova Fast Charger 65W,Nova,Charging,Each,362.80,532.33,5,Standard 5%,
MM-00152,Nova Replacement Battery,Nova,Parts,Each,674.48,1042.26,45,Standard 5%,
MM-00153,Vantage Wireless Charger Pad,Vantage,Chargers,Each,829.90,1228.45,39,Standard 5%,
MM-00154,PureSound Wireless Earbuds,PureSound,audio,Each,445.55,580.15,14,Standard 5%,
MM-00155,Zenlink Smartphone Lite,Zenlink,Mobiles,Each,26.64,38.20,27,Standard 5%,
MM-00156,Zenlink Wireless Charger Pad,Zenlink,Chargers,Each,831.42,1161.58,43,Standard 5%,
MM-00157,Falconx Smartphone 128GB,Falconx,Phones,Each,645.01,1058.91,35,Standard 5%,
MM-00158,Vantage Smartphone Lite,Vantage,Mobiles,Each,229.68,329.37,49,Standard 5%,
MM-00159,Vantage Smart Watch,Vantage,Wearables,Each,581.81,786.22,18,Standard 5%,
MM-00160,Nova Replacement Battery,Nova,Repair Parts,Each,345.01,484.81,45,Standard 5%,
MM-00161,Nova Wireless Charger Pad,Nova,Chargers,Each,203.52,315.14,16,Standard 5%,
MM-00162,PureSound Fitness Band,PureSound,Wearables,Each,22.00,32.36,9,Standard 5%,
MM-00163,Falconx Fitness Band,Falconx,Wearable,Each,829.09,1333.40,22,Standard 5%,
MM-00164,Nova Fitness Band,Nova,Wearable,Each,727.95,1366.82,25,Standard 5%,
MM-00165,Falconx Wireless Charger Pad,Falconx,Charging,Each,545.31,918.06,1,Standard 5%,
MM-00166,Falconx Replacement Battery,Falconx,Repair Parts,Each,508.99,656.21,40,Standard 5%,
MM-00167,PureSound Wireless Earbuds,PureSound,Audio,Each,180.19,269.85,6,Standard 5%,
MM-00168,Zenlink Cable Type-C,Zenlink,Accessories,Each,863.03,1150.35,29,Standard 5%,
MM-00169,Vantage Bluetooth Speaker,Vantage,Audio,Each,362.29,660.36,36,Standard 5%,
MM-00170,Zenlink Smart Watch,Zenlink,Wearables,Each,371.80,556.73,43,Standard 5%,
MM-00171,Orbit Over-Ear Headphones,Orbit,audio,Each,772.28,1286.02,31,Standard 5%,
MM-00172,Nova Replacement Battery,Nova,Parts,Each,845.10,1409.60,47,Standard 5%,
MM-00173,Vantage Fast Charger 65W,Vantage,Charging,Each,399.61,682.51,40,Standard 5%,
MM-00174,Nova Over-Ear Headphones,Nova,Audio,Each,562.18,866.66,31,Standard 5%,
MM-00175,PureSound Bluetooth Speaker,PureSound,audio,Each,549.55,926.23,35,Standard 5%,
MM-00176,Vantage Replacement Battery,Vantage,Repair Parts,Each,402.24,638.73,1,Standard 5%,
MM-00177,Vantage Replacement Battery,Vantage,Repair Parts,Each,894.87,1347.10,43,Standard 5%,
MM-00178,Vantage Smartphone Lite,Vantage,Phones,Each,734.29,1212.27,50,Standard 5%,
MM-00179,Falconx Phone Case,Falconx,Acc.,Each,513.99,781.98,50,Standard 5%,
MM-00180,Falconx Wireless Earbuds,Falconx,audio,Each,591.45,1025.92,10,Standard 5%,
MM-00181,Nova Cable Type-C,Nova,Accessories,Each,646.75,1023.79,2,Standard 5%,
MM-00182,PureSound Smartphone Lite,PureSound,Phones,Each,170.08,242.76,9,Standard 5%,
MM-00183,Zenlink Smartphone Lite,Zenlink,Mobiles,Each,255.39,445.90,23,Standard 5%,
MM-00184,Orbit Screen Protector,Orbit,Acc.,Each,474.55,744.14,17,Standard 5%,
MM-00185,Vantage Fitness Band,Vantage,Wearable,Each,862.41,1465.29,24,Standard 5%,
MM-00186,Falconx Bluetooth Speaker,Falconx,Audio,Each,490.39,784.63,42,Standard 5%,
MM-00187,PureSound Replacement Battery,PureSound,Parts,Each,145.63,266.93,18,Standard 5%,
MM-00188,Orbit Fitness Band,Orbit,Wearable,Each,524.86,830.79,6,Standard 5%,
MM-00189,Zenlink Wireless Charger Pad,Zenlink,Chargers,Each,143.49,270.25,38,Standard 5%,
MM-00190,Zenlink Replacement Battery,Zenlink,Repair Parts,Each,274.12,476.79,6,Standard 5%,
MM-00191,PureSound Smartphone 256GB,PureSound,phones,Each,246.25,450.08,24,Standard 5%,
MM-00192,Falconx Wireless Earbuds,Falconx,audio,Each,707.05,1266.57,41,Standard 5%,
MM-00193,Zenlink Wireless Charger Pad,Zenlink,Charging,Each,496.56,924.78,10,Standard 5%,
MM-00194,PureSound Screen Protector,PureSound,accessories,Each,143.54,229.88,43,Standard 5%,
MM-00195,Vantage Replacement Screen,Vantage,Parts,Each,223.78,317.06,29,Standard 5%,
MM-00196,Vantage Smartphone Lite,Vantage,phones,Each,575.28,908.44,25,Standard 5%,
MM-00197,PureSound Wireless Earbuds,PureSound,audio,Each,559.03,962.66,23,Standard 5%,
MM-00198,Orbit Car Mount,Orbit,accessories,Each,220.11,377.12,39,Standard 5%,
MM-00199,Zenlink Phone Case,Zenlink,Acc.,Each,122.23,182.79,45,Standard 5%,
MM-00200,Zenlink Fast Charger 20W,Zenlink,Charging,Each,796.02,1003.75,16,Standard 5%,
MM-00201,Orbit Smartphone 256GB,Orbit,Mobiles,Each,881.77,1644.76,42,Standard 5%,
MM-00202,Falconx Smartphone 128GB,Falconx,Phones,Each,47.62,74.07,46,Standard 5%,
MM-00203,PureSound Smartphone 128GB,PureSound,Mobiles,Each,236.31,355.77,26,Standard 5%,
MM-00204,Falconx Over-Ear Headphones,Falconx,Audio,Each,328.14,439.35,42,Standard 5%,
MM-00205,Orbit Wireless Charger Pad,Orbit,Chargers,Each,750.76,1090.17,44,Standard 5%,
MM-00206,Falconx Fitness Band,Falconx,Wearable,Each,186.67,341.42,32,Standard 5%,
MM-00207,Falconx Over-Ear Headphones,Falconx,audio,Each,883.13,1509.08,45,Standard 5%,
MM-00208,Vantage Over-Ear Headphones,Vantage,Audio,Each,573.90,1045.21,50,Standard 5%,
MM-00209,Nova Screen Protector,Nova,Acc.,Each,277.21,465.17,13,Standard 5%,
MM-00210,Nova Smartphone 128GB,Nova,Mobiles,Each,657.85,1073.56,40,Standard 5%,
MM-00211,Zenlink Fast Charger 20W,Zenlink,Chargers,Each,596.14,1018.00,31,Standard 5%,
MM-00212,Falconx Fast Charger 65W,Falconx,Chargers,Each,654.73,1167.63,30,Standard 5%,
MM-00213,Orbit Replacement Battery,Orbit,Parts,Each,629.25,1055.12,30,Standard 5%,
MM-00214,PureSound Wireless Earbuds,PureSound,Audio,Each,430.05,705.00,12,Standard 5%,
MM-00215,Vantage Smartphone Lite,Vantage,Mobiles,Each,246.03,454.93,27,Standard 5%,
MM-00216,Orbit Bluetooth Speaker,Orbit,audio,Each,671.03,1038.29,39,Standard 5%,
MM-00217,Nova Replacement Battery,Nova,Parts,Each,470.67,756.49,24,Standard 5%,
MM-00218,Zenlink Wireless Earbuds,Zenlink,audio,Each,835.96,1300.86,40,Standard 5%,
MM-00219,Vantage Replacement Screen,Vantage,Repair Parts,Each,583.01,883.82,1,Standard 5%,
MM-00220,PureSound Smartphone Lite,PureSound,Phones,Each,847.84,1569.93,39,Standard 5%,
MM-00221,Orbit Wireless Charger Pad,Orbit,Chargers,Each,227.86,314.79,23,Standard 5%,
MM-00222,Orbit Cable Type-C,Orbit,Accessories,Each,672.15,890.46,26,Standard 5%,
MM-00223,PureSound Smartphone 128GB,PureSound,Phones,Each,461.49,676.06,40,Standard 5%,
MM-00224,PureSound Replacement Screen,PureSound,Parts,Each,234.10,360.57,28,Standard 5%,
MM-00225,Vantage Smartphone Lite,Vantage,Phones,Each,374.67,598.16,49,Standard 5%,
MM-00226,Zenlink Fitness Band,Zenlink,Wearable,Each,646.82,1071.75,34,Standard 5%,
MM-00227,Orbit Bluetooth Speaker,Orbit,Audio,Each,360.90,647.50,48,Standard 5%,
MM-00228,Nova Fast Charger 65W,Nova,Charging,Each,100.47,165.18,50,Standard 5%,
MM-00229,Zenlink Fitness Band,Zenlink,Wearable,Each,412.35,574.70,15,Standard 5%,
MM-00230,PureSound Smart Watch,PureSound,Wearables,Each,540.69,973.10,42,Standard 5%,
MM-00231,PureSound Replacement Battery,PureSound,Parts,Each,390.60,649.12,2,Standard 5%,
MM-00232,Nova Smartphone 256GB,Nova,Phones,Each,158.92,218.05,42,Standard 5%,
MM-00233,Nova Fitness Band,Nova,Wearable,Each,30.38,57.34,8,Standard 5%,
MM-00234,Orbit Car Mount,Orbit,accessories,Each,371.04,694.00,37,Standard 5%,
MM-00235,Vantage Smart Watch,Vantage,Wearables,Each,317.30,488.91,8,Standard 5%,
MM-00236,PureSound Smart Watch,PureSound,Wearable,Each,130.63,167.78,44,Standard 5%,
MM-00237,Zenlink Cable Type-C,Zenlink,Accessories,Each,29.75,45.84,21,Standard 5%,
MM-00238,Orbit Wireless Earbuds,Orbit,Audio,Each,421.57,728.58,49,Standard 5%,
MM-00239,Falconx Wireless Earbuds,Falconx,Audio,Each,590.92,915.02,18,Standard 5%,
MM-00240,PureSound Cable Type-C,PureSound,Accessories,Each,155.50,205.99,11,Standard 5%,
MM-00241,Falconx Fast Charger 65W,Falconx,Chargers,Each,201.48,354.60,42,Standard 5%,
MM-00242,Nova Fitness Band,Nova,Wearables,Each,92.82,163.97,43,Standard 5%,
MM-00243,Zenlink Phone Case,Zenlink,Accessories,Each,634.93,1044.24,46,Standard 5%,
MM-00244,Orbit Phone Case,Orbit,Acc.,Each,551.80,985.05,17,Standard 5%,
MM-00245,Vantage Replacement Battery,Vantage,Parts,Each,396.51,715.67,17,Standard 5%,
MM-00246,Nova Replacement Screen,Nova,Repair Parts,Each,421.39,699.67,37,Standard 5%,
MM-00247,Nova Smartphone 128GB,Nova,phones,Each,456.03,599.18,25,Standard 5%,
MM-00248,PureSound Fitness Band,PureSound,Wearable,Each,572.84,957.91,29,Standard 5%,
MM-00249,Falconx Smart Watch,Falconx,Wearable,Each,462.56,698.94,25,Standard 5%,
MM-00250,Zenlink Car Mount,Zenlink,Accessories,Each,624.44,1165.84,25,Standard 5%,
MM-00251,PureSound Wireless Charger Pad,PureSound,Chargers,Each,57.14,84.31,46,Standard 5%,
MM-00252,Vantage Over-Ear Headphones,Vantage,Audio,Each,50.19,66.57,44,Standard 5%,
MM-00253,Zenlink Over-Ear Headphones,Zenlink,Audio,Each,16.56,22.06,26,Standard 5%,
MM-00254,Orbit Smartphone Lite,Orbit,phones,Each,891.83,1332.48,12,Standard 5%,
MM-00255,Vantage Smart Watch,Vantage,Wearable,Each,354.72,458.17,22,Standard 5%,
MM-00256,Vantage Phone Case,Vantage,Accessories,Each,206.97,316.93,33,Standard 5%,
MM-00257,PureSound Car Mount,PureSound,Accessories,Each,630.09,1141.28,9,Standard 5%,
MM-00258,Vantage Replacement Battery,Vantage,Parts,Each,886.96,1231.31,44,Standard 5%,
MM-00259,PureSound Wireless Charger Pad,PureSound,Charging,Each,834.22,1536.63,4,Standard 5%,
MM-00260,Falconx Cable Type-C,Falconx,Accessories,Each,452.04,611.74,27,Standard 5%,
MM-00261,Orbit Smartphone 256GB,Orbit,phones,Each,897.55,1471.71,10,Standard 5%,
MM-00262,Zenlink Phone Case,Zenlink,Accessories,Each,865.85,1265.99,27,Standard 5%,
MM-00263,Zenlink Replacement Battery,Zenlink,Parts,Each,702.00,989.50,10,Standard 5%,
MM-00264,Vantage Cable Type-C,Vantage,accessories,Each,163.88,206.61,47,Standard 5%,
MM-00265,Falconx Wireless Charger Pad,Falconx,Charging,Each,235.49,365.59,17,Standard 5%,
MM-00266,Orbit Smart Watch,Orbit,Wearables,Each,439.08,569.01,8,Standard 5%,
MM-00267,Zenlink Fast Charger 20W,Zenlink,Charging,Each,891.12,1167.58,8,Standard 5%,
MM-00268,Zenlink Fast Charger 20W,Zenlink,Charging,Each,579.67,733.39,35,Standard 5%,
MM-00269,PureSound Fast Charger 20W,PureSound,Charging,Each,370.06,542.15,20,Standard 5%,
MM-00270,Zenlink Cable Type-C,Zenlink,Acc.,Each,234.03,434.24,48,Standard 5%,
MM-00271,PureSound Wireless Charger Pad,PureSound,Charging,Each,827.86,1096.58,23,Standard 5%,
MM-00272,Vantage Smartphone Lite,Vantage,Mobiles,Each,17.13,28.67,12,Standard 5%,
MM-00273,Nova Smart Watch,Nova,Wearables,Each,670.46,905.38,40,Standard 5%,
MM-00274,Vantage Smart Watch,Vantage,Wearable,Each,275.03,349.97,7,Standard 5%,
